;Spot Check Item Value List
;Filter:(Inactive  =  No)  AND (Qty  <>  0) 
;Department,Supplier,Item,Description,Qty,Cost,Price,Extended Cost,Extended Price,
Toys & Games,USAOPOLY,378843,GAME NP TRIVIAL PURSUIT,4,10,27.95,40,111.8,
Toys & Games,USAOPOLY,333673,GAME MONOPOLY NATL PRKS NEW ED,6,20,49.99,120,299.94,
02-Other Publications,HOPKINS FULFILLMENT SERVICE,274202,AMERICAN IRISH POLITICAL,3,23.16,28.95,69.48,86.85,
Paper Products,"VANDAM, INC",350148,MAP NYC MIDTOWN ST SMART VD,4,3.98,7.95,15.92,31.8,
Paper Products,FOUND IMAGE PRESS INC,337526,POSTCARD FOUND IMAGE ASST,2319,0.6992,2.49,1621.4448,5774.31,
Toys & Games,FOUND IMAGE PRESS INC,429046,CARD 5X7 ASSORTED NYC IMAGES ,10,2.25,5.95,22.5,59.5,
02-Other Publications,MPS,259948,GUARDING THE GOLDEN DOOR,17,10.43,17,177.31,289,
02-Other Publications,MPS,276249,WHEN YOU GROW UP TO VOTE,7,9.995,19.95,69.965,139.65,
02-Other Publications,MPS,275208,GREAT AMERICN CITIZENSHIP QUIZ,41,8,16,328,656,
Toys & Games,eeBOO CORPORATION,387346,FLASH CARDS RESPECT EARTH OP,5,6,14.95,30,74.75,
Toys & Games,eeBOO CORPORATION,387347,FLASH CARDS GOOD CITIZENSHIP,6,6,14.95,36,89.7,
04-Reproduction Items,"MUSEUM MASTERWORKS, INC.",438485,REPLICA LIBERTY TORCH,6,28.5,79.95,171,479.7,
12-EN Product,PARADIGN DIGITAL COLOR GRAPHIC,266033,TRN WORLD HERITAGE SITE BOOK,24,1.6661,4.95,39.9864,118.8,
12-EN Product,PARADIGN DIGITAL COLOR GRAPHIC,266638,TRN HISTORY CIVIL RIGHTS IN AM,11,4.323,8.95,47.553,98.45,
12-EN Product,PARADIGN DIGITAL COLOR GRAPHIC,271955,TRN DISCOVER EXPLOR AM NAT PRK,26,1.08,7.95,28.08,206.7,
12-EN Product,PARADIGN DIGITAL COLOR GRAPHIC,262486,TRN ANP KIDS ACTIVITY BOOK,1,1.945,7.95,1.945,7.95,
Paper Products,ASSOCIATED SALES & BAG COMPANY,61406,"POSTER TUBE 2""X24"" W/PLASTIC",79,1.105,4.95,87.295,391.05,
02-Other Publications,RANDOM HOUSE CHILDREN,274533,WHAT WERE THE TWIN TOWERS PA,100,2.995,5.99,299.5,599,
02-Other Publications,RANDOM HOUSE CHILDREN,274684,WHAT WAS THE TITANIC PA,76,2.995,5.95,227.62,452.2,
02-Other Publications,RANDOM HOUSE CHILDREN,259884,KING OF MULBERRY STREET,19,3.995,7.99,75.905,151.81,
02-Other Publications,RANDOM HOUSE CHILDREN,274876,L IS FOR LIBERTY PA,51,2.495,4.99,127.245,254.49,
02-Other Publications,RANDOM HOUSE CHILDREN,272846,WE CAME TO AMERICA,17,8.995,17.99,152.915,305.83,
02-Other Publications,RANDOM HOUSE CHILDREN,274107,SKATING WITH STATUE LIBERTY,23,3.987,6.99,91.701,160.77,
02-Other Publications,RANDOM HOUSE CHILDREN,272843,LADY LIBERTYS HOLIDAY,37,8.995,17.99,332.815,665.63,
02-Other Publications,RANDOM HOUSE CHILDREN,273994,I PLEDGE ALLEGIANCE,19,3.995,7.99,75.905,151.81,
02-Other Publications,RANDOM HOUSE CHILDREN,270467,WHAT IS STATUE OF LIBERTY,138,2.995,5.99,413.31,826.62,
02-Other Publications,RANDOM HOUSE CHILDREN,270466,WHAT WAS ELLIS ISLAND,112,2.995,5.99,335.44,670.88,
02-Other Publications,RANDOM HOUSE CHILDREN,259871,I WAS DREAMING TO COME AMERICA,1,3.495,6.99,3.495,6.99,
02-Other Publications,RANDOM HOUSE CHILDREN,276248,THIS IS OUR CONSTITUTION,28,3.995,7.99,111.86,223.72,
02-Other Publications,RANDOM HOUSE CHILDREN,274625,WHERE IS THE EMPIRE STATE BUIL,85,2.995,5.99,254.575,509.15,
02-Other Publications,RANDOM HOUSE CHILDREN,274626,WHERE IS THE BROOKLYN BRIDGE,82,2.995,5.99,245.59,491.18,
02-Other Publications,RANDOM HOUSE CHILDREN,274991,WHAT IS THE CONSTITUTION,18,2.995,5.95,53.91,107.1,
02-Other Publications,RANDOM HOUSE CHILDREN,244054,STATUE OF LIBERTY STEP INTO,43,2.495,4.99,107.285,214.57,
02-Other Publications,RANDOM HOUSE CHILDREN,272840,NEW YORK A BOOK OF COLORS,74,3.995,7.99,295.63,591.26,
02-Other Publications,RANDOM HOUSE CHILDREN,274875,LIL GOLDEN BOOK STATUE OF LIBE,75,2.995,4.99,224.625,374.25,
Paper Products,CAVALLINI PAPERS & CO INC,368486,NOTEBOOK NYC VINTAGE 6X8,61,5,14.95,305,911.95,
Paper Products,CAVALLINI PAPERS & CO INC,368477,WRAP NYC POSTCARDS 20X28,49,1.6,11.94,78.4,585.06,
Commemorative,CAVALLINI PAPERS & CO INC,368494,MAGNET NYC SET,70,7.2,21.95,504,1536.5,
Paper Products,CAVALLINI PAPERS & CO INC,368488,STICKERS AMERICANA,57,5.4,16.95,307.8,966.15,
Paper Products,CAVALLINI PAPERS & CO INC,368483,POSTCARD NYC CARTE POSTAL 18,67,4.8,14.95,321.6,1001.65,
Paper Products,CAVALLINI PAPERS & CO INC,385166,JOURNAL NYC VINTAGE MINI 3PK,52,4,14.95,208,777.4,
Paper Products,CAVALLINI PAPERS & CO INC,426742,POSTCARD SET NATIONAL PARKS,2,4.8,14.95,9.6,29.9,
Paper Products,CAVALLINI PAPERS & CO INC,368485,NOTEBOOK NYC SMALL 4X6,92,4,14.95,368,1375.4,
Paper Products,CAVALLINI PAPERS & CO INC,433082,POSTER TIMES SQUARE & 42ND ST,163,1.638,11.94,266.994,1946.22,
Paper Products,CAVALLINI PAPERS & CO INC,424680,WRAP NEW YORK CITY GUIDE,104,1.6,11.94,166.4,1241.76,
Paper Products,CAVALLINI PAPERS & CO INC,368475,WRAP NYC COLLAGE 20X28,110,1.6,11.94,176,1313.4,
For The Home,CAVALLINI PAPERS & CO INC,424677,TOWEL TEA NYC,48,5.6,19.95,268.8,957.6,
Paper Products,CAVALLINI PAPERS & CO INC,389427,POSTER NEW YORK CITY 3,233,1.6,11.94,372.8,2782.02,
Paper Products,CAVALLINI PAPERS & CO INC,377338,JOURNAL NYC GUIDE/NOTEBOOK,1,5.6,16.95,5.6,16.95,
Commemorative,CAVALLINI PAPERS & CO INC,426743,MAGNET SET NATIONAL PARKS,25,7.2,21.95,180,548.75,
Paper Products,CAVALLINI PAPERS & CO INC,389425,NOTEBOOK NYC SMALL MAP,3,4.005,14.95,12.015,44.85,
Crafts & Hobbies,CAVALLINI PAPERS & CO INC,385048,STAMP SET NYC VINTAGE,22,5.2,16.95,114.4,372.9,
Commemorative,CAVALLINI PAPERS & CO INC,368481,PENCIL SET VINTAGE NY,26,4.4,13.95,114.4,362.7,
Paper Products,CAVALLINI PAPERS & CO INC,368479,POSTER NYC WONDER CITY 20X28,183,1.627,11.94,297.741,2185.02,
Paper Products,CAVALLINI PAPERS & CO INC,389424,NOTEBOOK NYC LARGE MAP,66,5,14.95,330,986.7,
Paper Products,CAVALLINI PAPERS & CO INC,368484,NOTEBOOK NYC 3 MINI,79,4.026,14.95,318.054,1181.05,
Paper Products,CAVALLINI PAPERS & CO INC,424678,STICKERS VINTAGE NYC,60,5.4,16.95,324,1017,
Paper Products,CAVALLINI PAPERS & CO INC,368490,NOTES STICKY NYC,50,5,14.95,250,747.5,
Paper Products,CAVALLINI PAPERS & CO INC,429044,POSTER TIMES SQUARE,102,1.6,11.94,163.2,1217.88,
02-Other Publications,CHESTER COMIX LLC,251082,AMERICAN SYMBOLS COMIC BOOK,3,3.47,6.95,10.41,20.85,
02-Other Publications,CAPSTONE PUBLISHERS,261682,STATUE LBRTY AM. SMBLS SERIES,10,4.975,9.95,49.75,99.5,
02-Other Publications,CAPSTONE PUBLISHERS,261687,STORY OF STATUE OF LIBERTY,22,4.05,7.95,89.1,174.9,
02-Other Publications,CAPSTONE PUBLISHERS,270452,ELLIS ISLAND INTERACTIVE,19,3.737,6.95,71.003,132.05,
Crafts & Hobbies,DARON WORLDWIDE TRADING,368505,PUZZLE ONE WORLD TRADE 3D,74,6.697,16.95,495.578,1254.3,
Crafts & Hobbies,DARON WORLDWIDE TRADING,337285,PUZZLE STATUE OF LIBERTY 3D,79,6.748,16.95,533.092,1339.05,
Crafts & Hobbies,DARON WORLDWIDE TRADING,342793,PUZZLE BROOKLYN BRIDGE 3D,32,6.603,16.95,211.296,542.4,
Crafts & Hobbies,DARON WORLDWIDE TRADING,342795,PUZZLE EMPIRE STATE BLD 3D,77,6.731,16.95,518.287,1305.15,
Crafts & Hobbies,DARON WORLDWIDE TRADING,438163,PUZZLE MINI SOL,111,2.5,5.99,277.5,664.89,
Crafts & Hobbies,DARON WORLDWIDE TRADING,345886,PUZZLE CHRYSLER BUILDING,75,6.605,16.95,495.375,1271.25,
Crafts & Hobbies,DARON WORLDWIDE TRADING,438164,PUZZLE MINI EMPIRE STATE,85,2.5,7.95,212.5,675.75,
Crafts & Hobbies,DARON WORLDWIDE TRADING,368501,PUZZLE TITANIC 3D,24,18.711,32.95,449.064,790.8,
02-Other Publications,HOUGHTON MIFFLIN HARCOURT,260074,NAMESAKE A NOVEL,9,8.631,15.99,77.679,143.91,
02-Other Publications,FINLEY-HOLIDAY FILM,23931,SBS STATUE OF LIBERTY,13,6.45,11.95,83.85,155.35,
02-Other Publications,THE LERNER GROUP,261685,STATUE LIBERTY-PULL AHEAD BK,22,4.235,7.95,93.17,174.9,
Accessories,"WILDTHINGS SNAP ON, INC.",365111,VEST JR RANGER GREEN XL,15,14.087,29.95,211.305,449.25,
Accessories,"WILDTHINGS SNAP ON, INC.",378254,HAT JR RANGER BOONIE GREEN SM,21,5.539,14.95,116.319,313.95,
Accessories,"WILDTHINGS SNAP ON, INC.",383216,HAT JR RANGER BOONIE GREEN XL,22,5.5566,14.95,122.2452,328.9,
02-Other Publications,RANDOM HOUSE LLC,274873,TITANIC FIRST ACCOUNTS PA,24,9,18,216,432,
02-Other Publications,RANDOM HOUSE LLC,274114,NEW YORK THEN AND NOW,41,7.475,14.95,306.475,612.95,
02-Other Publications,RANDOM HOUSE LLC,259882,WATER STREET,19,3.995,7.99,75.905,151.81,
02-Other Publications,RANDOM HOUSE LLC,259879,MAGGIE'S DOOR,13,3.995,7.99,51.935,103.87,
02-Other Publications,RANDOM HOUSE LLC,274623,AMERICANAH PA,7,8.468,16,59.276,112,
02-Other Publications,RANDOM HOUSE LLC,279668,IMMIGRANT KIDS,19,4.494,8.99,85.386,170.81,
02-Other Publications,RANDOM HOUSE LLC,261676,SHANGHAI GIRLS PA,14,8.5,17,119,238,
02-Other Publications,RANDOM HOUSE LLC,274624,GIRL IN TRANSLATION PA,10,8.5,17,85,170,
02-Other Publications,RANDOM HOUSE LLC,270601,BRIEF WONDROUS LIFE OF OSCAR W,2,8,16,16,32,
02-Other Publications,RANDOM HOUSE LLC,274621,EMMA LAZARUS PA,27,8.5,17,229.5,459,
02-Other Publications,SIMON & SCHUSTER,274869,BLAST BACK: TITANIC PA,27,2.995,5.99,80.865,161.73,
02-Other Publications,SIMON & SCHUSTER,247109,CITY OF DREAMS,15,9.672,18,145.08,270,
02-Other Publications,SIMON & SCHUSTER,275209,JOURNAL NP AN INSPIRATIONAL,16,8.532,19.95,136.512,319.2,
02-Other Publications,SIMON & SCHUSTER,272878,NATIONAL PARKS AMERICAN LEGACY,1,28.5,50,28.5,50,
02-Other Publications,TRILITERAL LLC,274201,FROM ELLIS ISLAND TO JFK NY,6,28.5,30,171,180,
02-Other Publications,"LONGLEAF SERVICES, INC.",274827,CREATING NATIONAL PARK SERVICE,1,22.536,24.95,22.536,24.95,
02-Other Publications,"LONGLEAF SERVICES, INC.",259958,PASSAGES TO AMERICA,12,18.972,34.95,227.664,419.4,
02-Other Publications,"LONGLEAF SERVICES, INC.",263623,FIRST MANHATTANS,5,12.072,21.95,60.36,109.75,
Accessories,JACOBSON HAT CO INC,428169,HAT JR RANGER CHILD ASST,42,4.942,15.95,207.564,669.9,
04-Reproduction Items,JACOBSON HAT CO INC,340392,RANGER HAT WOOL FELT,1,18.743,39.95,18.743,39.95,
Toys & Games,"WORKMAN PUBLISHING CO., INC.",318626,GAME BRAIN QUEST AMERICA,18,5.755,11.95,103.59,215.1,
02-Other Publications,"WORKMAN PUBLISHING CO., INC.",262637,ORAL HISTORY WORKSHOP,14,6.327,12.95,88.578,181.3,
02-Other Publications,"WORKMAN PUBLISHING CO., INC.",233174,FANDEX FIELD GD FIFTY STATES,10,6.218,12.95,62.18,129.5,
Paper Products,PALOMAR,424608,MAP CRUMBLED CITY JUNIOR NY,37,7.382,17.95,273.134,664.15,
Paper Products,PALOMAR,385185,MAP NYC CRUMBLED CITY,7,8,19.95,56,139.65,
02-Other Publications,EDUCATIONAL DEVELOPMENT CORP,274190,WONDERS OF THE USA,23,6.495,12.99,149.385,298.77,
Toys & Games,SAFARI PROGRAMS INC,387351,TOY SUPER TOOB NEW YORK CITY,117,4,16.95,468,1983.15,
Toys & Games,SAFARI PROGRAMS INC,387352,TOY SUPER TOOB USA,62,8.8,23.95,545.6,1484.9,
02-Other Publications,"GIBBS SMITH, PUBLISHER",272842,ALL ABOARD TO NEW YORK,27,5,9.99,135,269.73,
Toys & Games,SCHYLLING INC,424814,TOY NANOBLOCK NYC TAXI OP,6,10,24.95,60,149.7,
Toys & Games,SCHYLLING INC,427640,TOY NANOBLOCK EMPIRE STATE OP,1,15,37.95,15,37.95,
Commemorative,CHARLESTON MINT,424567,ORNAMENT STATUE 3D METAL,2,6.25,16.95,12.5,33.9,
Commemorative,CHARLESTON MINT,422910,ORNAMENT ELLIS METAL 3D,11,6.25,19.95,68.75,219.45,
Passport,MCCLAFFERTY PRINTING,392002,PASSPORT STAMP SET 2002,12,0.77,4.95,9.24,59.4,
Passport,MCCLAFFERTY PRINTING,392013,PASSPORT STAMP SET 2013,17,0.748,4.95,12.716,84.15,
Passport,MCCLAFFERTY PRINTING,392006,PASSPORT STAMP SET 2006,22,0.814,4.95,17.908,108.9,
Passport,MCCLAFFERTY PRINTING,29000,PASSPORT BOOK ,101,2.7371,12.95,276.4471,1307.95,
Passport,MCCLAFFERTY PRINTING,391986,PASSPORT STAMP SET 1986,29,0.762,4.95,22.098,143.55,
Passport,MCCLAFFERTY PRINTING,392017,PASSPORT STAMP SET 2017,26,0.739,4.95,19.214,128.7,
Passport,MCCLAFFERTY PRINTING,392004,PASSPORT STAMP SET 2004,23,0.722,4.95,16.606,113.85,
Passport,MCCLAFFERTY PRINTING,391988,PASSPORT STAMP SET 1988,14,0.756,4.95,10.584,69.3,
Passport,MCCLAFFERTY PRINTING,392022,PASSPORT STAMP SET 2022,32,0.744,5.95,23.808,190.4,
Passport,MCCLAFFERTY PRINTING,391997,PASSPORT STAMP SET 1997,6,0.821,4.95,4.926,29.7,
Passport,MCCLAFFERTY PRINTING,391995,PASSPORT STAMP SET 1995,18,0.725,4.95,13.05,89.1,
Passport,MCCLAFFERTY PRINTING,392005,PASSPORT STAMP SET 2005,17,0.821,4.95,13.957,84.15,
Passport,MCCLAFFERTY PRINTING,391994,PASSPORT STAMP SET 1994,20,0.682,4.95,13.64,99,
Passport,MCCLAFFERTY PRINTING,391990,PASSPORT STAMP SET 1990,80,0.836,4.95,66.88,396,
Passport,MCCLAFFERTY PRINTING,391996,PASSPORT STAMP SET 1996,8,0.777,4.95,6.216,39.6,
Passport,MCCLAFFERTY PRINTING,391998,PASSPORT STAMP SET 1998,18,0.777,4.95,13.986,89.1,
Passport,MCCLAFFERTY PRINTING,392012,PASSPORT STAMP SET 2012,14,0.782,4.95,10.948,69.3,
Passport,MCCLAFFERTY PRINTING,392003,PASSPORT STAMP SET 2003,10,0.776,4.95,7.76,49.5,
Passport,MCCLAFFERTY PRINTING,392010,PASSPORT STAMP SET 2010,5,0.725,4.95,3.625,24.75,
Passport,MCCLAFFERTY PRINTING,391993,PASSPORT STAMP SET 1993,26,0.7704,4.95,20.0304,128.7,
Passport,MCCLAFFERTY PRINTING,392016,PASSPORT STAMP SET 2016,26,0.812,4.95,21.112,128.7,
Passport,MCCLAFFERTY PRINTING,392014,PASSPORT STAMP SET 2014,14,0.823,4.95,11.522,69.3,
Passport,MCCLAFFERTY PRINTING,392007,PASSPORT STAMP SET 2007,14,0.787,4.95,11.018,69.3,
Passport,MCCLAFFERTY PRINTING,392008,PASSPORT STAMP SET 2008,7,0.746,4.95,5.222,34.65,
Passport,MCCLAFFERTY PRINTING,391999,PASSPORT STAMP SET 1999,14,0.784,4.95,10.976,69.3,
Passport,MCCLAFFERTY PRINTING,392018,PASSPORT STAMP SET 2018,25,0.787,4.95,19.675,123.75,
Passport,MCCLAFFERTY PRINTING,392019,PASSPORT STAMP SET 2019,25,0.801,4.95,20.025,123.75,
Passport,MCCLAFFERTY PRINTING,392020,PASSPORT STAMP SET 2020,35,0.56,4.95,19.6,173.25,
Passport,MCCLAFFERTY PRINTING,392011,PASSPORT STAMP SET 2011,2,0.785,4.95,1.57,9.9,
Passport,MCCLAFFERTY PRINTING,392009,PASSPORT STAMP SET 2009,13,0.753,4.95,9.789,64.35,
Passport,MCCLAFFERTY PRINTING,391992,PASSPORT STAMP SET 1992,15,0.819,4.95,12.285,74.25,
Commemorative,SCREENCRAFT,360992,MAGNET LIBERTY,73,4.005,9.95,292.365,726.35,
Commemorative,SCREENCRAFT,360991,MAGNET BROOKLYN BRIDGE BW,51,4.117,9.95,209.967,507.45,
Commemorative,SCREENCRAFT,360990,MAGNET IMMIGRANT FAMILY,76,3.995,9.95,303.62,756.2,
Toys & Games,LATE FOR THE SKY PRODUCTION CO,429039,GAME NEW YORKOPOLY,26,12.5,29.95,325,778.7,
Toys & Games,LATE FOR THE SKY PRODUCTION CO,334776,GAME AMERICAOPOLY,4,12.5,29.95,50,119.8,
02-Other Publications,"PEACHTREE PUBLISHERS, LTD",276246,FAULT LINES IN CONSTITUTION,14,8.223,14.95,115.122,209.3,
Toys & Games,HAYWOOD STUDIOS INC,349799,CARD GAME NATIONAL PARK WAR,2,5.456,12.95,10.912,25.9,
Toys & Games,HAYWOOD STUDIOS INC,387647,GAME CRAZY STATES,10,5.494,12.95,54.94,129.5,
Crafts & Hobbies,"4D CITYSCAPE, INC.",438087,PUZZLE 4D CITYSCAPE USA,63,21,49.95,1323,3146.85,
Crafts & Hobbies,"4D CITYSCAPE, INC.",342853,PUZZLE HISTORY OVER TIME 4D,49,21,49.95,1029,2447.55,
Crafts & Hobbies,"4D CITYSCAPE, INC.",383300,PUZZLE MINI NYC 4D,46,7.5,24.95,345,1147.7,
Commemorative,LANTERN PRESS LLC,438797,POSTCARD WOOD LIBERTY ,63,1.247,3.95,78.561,248.85,
Commemorative,LANTERN PRESS LLC,343548,MAGNET SOL TORCH,187,2.2488,5.95,420.5256,1112.65,
Commemorative,LANTERN PRESS LLC,343492,MAGNET SOL NY,150,2.25,5.95,337.5,892.5,
Paper Products,LANTERN PRESS LLC,430021,POSTCARD SOL NAVY,274,0.252,0.92,69.048,252.08,
Paper Products,LANTERN PRESS LLC,430022,POSTCARD SOL BLUE,270,0.259,0.92,69.93,248.4,
For The Home,LANTERN PRESS LLC,438789,COASTER LIBERTY CERAMIC,59,1.841,4.95,108.619,292.05,
Paper Products,LANTERN PRESS LLC,430024,POSTCARD SOL TORCH,204,0.25,0.92,51,187.68,
Commemorative,LANTERN PRESS LLC,343378,MAGNET SOL BLUE CLOUDS,157,2.056,5.95,322.792,934.15,
Paper Products,LANTERN PRESS LLC,430025,POSTCARD SOL BLUE CLOUDS,162,0.23,0.92,37.26,149.04,
Commemorative,LANTERN PRESS LLC,343542,MAGNET SOL BLUE,278,2.072,5.95,576.016,1654.1,
Paper Products,LANTERN PRESS LLC,438791,STICKER LARGE LIBERTY,148,1.206,3.95,178.488,584.6,
Commemorative,LANTERN PRESS LLC,343541,MAGNET SOL TECHNICAL,245,2.25,5.95,551.25,1457.75,
Paper Products,LANTERN PRESS LLC,430023,POSTCARD SOL TECHNICAL,244,0.248,0.92,60.512,224.48,
02-Other Publications,PETER MORTON COAN,263983,TOWARD A BETTER LIFE,5,14.3,26,71.5,130,
Passport,"TIPSY, INC",430531,HOODIE PASSPORT ELLIS SM,31,17.477,39.95,541.787,1238.45,
Passport,"TIPSY, INC",430534,HOODIE PASSPORT ELLIS XL,79,16.774,39.95,1325.146,3156.05,
Passport,"TIPSY, INC",430535,HOODIE PASSPORT ELLIS 2X,15,18.399,39.95,275.985,599.25,
Passport,"TIPSY, INC",430532,HOODIE PASSPORT ELLIS MD,38,17.41,39.95,661.58,1518.1,
Passport,"TIPSY, INC",430533,HOODIE PASSPORT ELLIS LG,39,17.389,39.95,678.171,1558.05,
04-Reproduction Items,FASCINATIONS INC.,420302,MODEL EMPIRE STATE BUILDING,121,3,12.95,363,1566.95,
04-Reproduction Items,FASCINATIONS INC.,420301,MODEL CHRYSLER BUILDING,112,3,12.95,336,1450.4,
04-Reproduction Items,FASCINATIONS INC.,420304,MODEL ONE WORLD TRADE CENTER,179,3,12.95,537,2318.05,
04-Reproduction Items,FASCINATIONS INC.,420305,MODEL BROOKLYN BRIDGE,192,5,14.95,960,2870.4,
04-Reproduction Items,FASCINATIONS INC.,420299,MODEL TITANIC SHIP,75,5,12.95,375,971.25,
04-Reproduction Items,FASCINATIONS INC.,426575,MODEL ROCKFELLER BUILDING,64,5,12.95,320,828.8,
02-Other Publications,SLEEPING BEAR PRESS,274198,E IS FOR EMPIRE,11,9.887,17.95,108.757,197.45,
Multimedia,GRACE GUGGENHEIM PRODUCTIONS L,327427,DVD ISLAND OF HOPE,17,11.97,21.95,203.49,373.15,
Passport,AMERICAN MARKETING,425945,TEE PASSPORT ELLIS NVY 3X,38,12.25,24.95,465.5,948.1,
Passport,AMERICAN MARKETING,425944,TEE PASSPORT ELLIS NVY 2X,11,11.25,24.95,123.75,274.45,
Commemorative,AMERICAN MARKETING,436818,WATER BOTTLE RED PPRT ST/EL,153,2.039,5.95,311.967,910.35,
Passport,AMERICAN MARKETING,430552,WATER BOTTLE PASSPORT BLUE DNR,12,1.95,5.95,23.4,71.4,
Commemorative,AMERICAN MARKETING,436817,WATER BOTTLE TEAL PPRT ST/EL,98,2.042,5.95,200.116,583.1,
Passport,AMERICAN MARKETING,425941,TEE PASSPORT ELLIS NVY MD,15,9.75,24.95,146.25,374.25,
Passport,AMERICAN MARKETING,425940,TEE PASSPORT ELLIS NVY SM,9,9.75,24.95,87.75,224.55,
Commemorative,AMERICAN MARKETING,436816,WATER BOTTLE FUSHIA PPRT ST EL,120,2.045,5.95,245.4,714,
Passport,AMERICAN MARKETING,425943,TEE PASSPORT ELLIS NVY XL,69,9.75,24.95,672.75,1721.55,
Passport,AMERICAN MARKETING,425942,TEE PASSPORT ELLIS NVY LG,3,9.75,24.95,29.25,74.85,
Toys & Games,WILD REPUBLIC,350552,"PLUSH BISON CK 12""",30,6.773,14.95,203.19,448.5,
Toys & Games,WILD REPUBLIC,352421,"PLUSH BALD EAGLE CK 12""",112,7.812,21.95,874.944,2458.4,
Commemorative,"HOGEYE, INC",424577,MAGNET STLI BLUE BACKGROUND,130,2.752,5.95,357.76,773.5,
Commemorative,"HOGEYE, INC",345225,HIKE MEDAL SOL BLUE BACKROUND,182,2.47,5.95,449.54,1082.9,
Commemorative,"HOGEYE, INC",341662,PIN ELLIS ISLAND NY HARBOR,100,2.107,5.95,210.7,595,
Passport,"HOGEYE, INC",378058,PATCH PASSPORT DNR,25,1.805,5.95,45.125,148.75,
Commemorative,"HOGEYE, INC",345222,HIKE MEDAL ELLIS NY HARBOR,190,2.423,5.95,460.37,1130.5,
04-Reproduction Items,"HOGEYE, INC",417957,COIN 1892 GOLD ANNIE MOORE,90,3.05,9.95,274.5,895.5,
Commemorative,"HOGEYE, INC",337000,PATCH ELLIS ISLAND,102,2.032,5.95,207.264,606.9,
Commemorative,"HOGEYE, INC",424571,KEYCHAIN ELLIS ISLAND TOWER,244,2.319,5.95,565.836,1451.8,
Commemorative,"HOGEYE, INC",345224,HIKE MEDAL SOL RED ARCH,195,2.47,5.95,481.65,1160.25,
Commemorative,"HOGEYE, INC",424569,HIKE MEDAL ELLIS ISLAND,187,2.453,5.95,458.711,1112.65,
Commemorative,"HOGEYE, INC",342012,ANP HIKE MEDAL SUPPORTER DNR,1,2.246,5.95,2.246,5.95,
Commemorative,"HOGEYE, INC",342010,ANP MAGNET SUPPORTER DNR,6,2.517,5.95,15.102,35.7,
Commemorative,"HOGEYE, INC",334667,PATCH SOL RED ARCH,165,2.07,5.95,341.55,981.75,
Commemorative,"HOGEYE, INC",424578,ORNAMENT STLI BLUE BACKGROUND,103,4.352,9.95,448.256,1024.85,
Commemorative,"HOGEYE, INC",345221,HIKE MEDAL ELLIS TOWER,179,2.47,6.95,442.13,1244.05,
Commemorative,"HOGEYE, INC",424575,ORNAMENT STLI RED ARCH,101,4.378,9.95,442.178,1004.95,
Commemorative,"HOGEYE, INC",424574,ORNAMENT ELLIS ISLAND NEW YORK,49,4.271,9.95,209.279,487.55,
Commemorative,"HOGEYE, INC",334666,PIN SOL RED ARCH,83,2.046,5.95,169.818,493.85,
Commemorative,"HOGEYE, INC",334669,PIN SOL BLUE BACKGROUND,201,1.955,5.95,392.955,1195.95,
Commemorative,"HOGEYE, INC",341661,PATCH ELLIS ISLAND TOWER,149,2.211,5.95,329.439,886.55,
Commemorative,"HOGEYE, INC",341660,PIN ELLIS ISLAND TOWER,271,2.118,5.95,573.978,1612.45,
Commemorative,"HOGEYE, INC",424570,ORNAMENT ELLIS ISLAND,50,4.277,9.95,213.85,497.5,
Commemorative,"HOGEYE, INC",424573,ORNAMENT ELLIS ISLAND TOWER,103,4.318,9.95,444.754,1024.85,
Commemorative,"HOGEYE, INC",334665,PATCH SOL BLUE BACKGROUND,130,2.07,5.95,269.1,773.5,
Commemorative,"HOGEYE, INC",341663,PATCH ELLIS ISLAND NY HARBOR,106,2.238,5.95,237.228,630.7,
Commemorative,"HOGEYE, INC",424572,MAGNET ELLIS ISLAND TOWER,282,2.754,5.95,776.628,1677.9,
Commemorative,"HOGEYE, INC",336999,PIN ELLIS ISLAND,209,2.067,5.95,432.003,1243.55,
Commemorative,"HOGEYE, INC",424576,KEYCHAIN STLI BLUE BACKGROUND,261,1.873,5.95,488.853,1552.95,
Commemorative,"HOGEYE, INC",341957,KEYCHAIN SOL ELLIS SPINNER,201,2.986,11.95,600.186,2401.95,
Paper Products,"HYGLOSS PRODUCTS, INC.",259905,PASSPORT BOOK (BLANK PAGES),122,0.5,1.95,61,237.9,
02-Other Publications,"HYGLOSS PRODUCTS, INC.",259922,PASSPORT TO YOUR PAST,33,1.25,2.49,41.25,82.17,
02-Other Publications,INGRAM PUBLISHER SERVICES,274199,TRANSPLANTED A HISTORY ,3,20.9,22,62.7,66,
02-Other Publications,INGRAM PUBLISHER SERVICES,259945,TRIANGLE FIRE CHANGED AMERICA,21,8.549,17,179.529,357,
02-Other Publications,INGRAM PUBLISHER SERVICES,275367,LIBERTY'S TORCH,17,8.5,17,144.5,289,
02-Other Publications,INGRAM PUBLISHER SERVICES,261689,WHEN DID STATUE LBRTY TRN GRN?,37,9.3205,16.95,344.8585,627.15,
02-Other Publications,INGRAM PUBLISHER SERVICES,276220,NORTH BROTHER ISLAND,11,19.98,39.95,219.78,439.45,
02-Other Publications,INGRAM PUBLISHER SERVICES,273968,BLOOD RELATIONS CARIBBEAN,12,19.2,24,230.4,288,
